academia, 2.023450, 0.927957, 4.622528, 0.610353 , 0.288806
android, 3.293179, 0.837834, 34.899652, 0.254422 , 0.234669
anime, 21.581091, 0.473828, 1.798666, 0.874684 , 0.082968
apple, 4.101486, 0.825698, 18.627534, 0.611242 , 0.029891
arduino, 9.614659, 0.600348, 4.763358, 0.758851 , 0.000000
astronomy, 377.657139, -0.345692, 0.693142, 0.777764 , 0.474086
aviation, 0.781373, 1.189615, 1.497899, 0.760673 , 0.339802
avp, 1.004170, 1.040273, 1.389717, 0.762064 , 0.313663
bicycles, 6.579833, 0.638035, 16.928664, 0.616270 , 0.000000
biology, 3.102422, 0.860950, 1.174768, 0.499890 , 0.634683
bitcoin, 3.062486, 0.867052, 2.194512, 0.942296 , 0.000000
blender, 4.103704, 0.832049, 8.155285, 0.356142 , 0.415104
boardgames, 2.654574, 0.870217, 1.015839, 1.000000 , 0.162081
chemistry, 1.198969, 1.053343, 1.338850, 0.912657 , 0.113445
chess, 2.568771, 0.906575, 1.322864, 0.936654 , 0.205837
chinese, 0.930553, 1.204509, 2.189589, 0.900090 , 0.147353
christianity, 0.748048, 1.243920, 1.266131, 0.897121 , 0.252896
codegolf, 3.775463, 0.795005, 3.609558, 0.413360 , 0.642128
codereview, 0.717906, 1.093287, 0.134947, 0.491302 , 1.000000
cogsci, 3.315824, 0.807241, 0.429123, 0.770933 , 0.572532
cooking, 0.347190, 1.276323, 0.398417, 1.000000 , 0.354372
crypto, 1.673359, 0.952911, 7.678983, 0.383257 , 0.329264
cs, 2.482154, 0.888247, 3.860355, 0.506531 , 0.361445
cstheory, 0.223652, 1.379307, 0.015495, 1.000000 , 1.000000
dba, 3.120077, 0.863019, 14.520040, 0.163560 , 0.535447
diy, 2.757422, 0.852208, 8.325551, 0.731995 , 0.000000
drupal, 13.183823, 0.683986, 14.924776, 0.643277 , 0.000000
dsp, 1.670036, 0.957660, 2.408569, 0.397817 , 0.568797
electronics, 2.719283, 0.902877, 11.839498, 0.568019 , 0.177983
ell, 7.793244, 0.837181, 1.117691, 1.000000 , 0.091086
english, 5.298494, 0.802346, 4.432606, 0.923306 , 0.000000
expatriates, 0.292177, 1.367094, 0.534330, 0.576906 , 0.720291
expressionengine, 0.254898, 1.338417, 0.024112, 0.830491 , 1.000000
fitness, 0.188136, 1.461558, 0.818636, 0.955962 , 0.269263
french, 0.757153, 1.234636, 0.463138, 1.000000 , 0.387983
gamedev, 2.885162, 0.870444, 6.321133, 0.000000 , 0.842197
gaming, 7.187535, 0.779369, 1.493365, 1.000000 , 0.020302
gardening, 0.647860, 1.206158, 1.290874, 0.948822 , 0.143124
german, 1.458439, 1.080946, 0.405229, 0.780142 , 0.637942
gis, 2.618716, 0.910335, 20.553510, 0.496321 , 0.109451
graphicdesign, 1.723731, 0.931674, 6.775630, 0.365286 , 0.438630
hermeneutics, 33.148030, 0.210756, 7.335952, 0.526659 , 0.188342
history, 4.759068, 0.736933, 2.014290, 0.627511 , 0.402695
